sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xe1af0c6060ff330f0f1d29b70a968f2c5e200528,1,51,51.0,1.0,1.0,57,2,0.8947368421052632,False,False,c:0xe1af0c6060ff330f0f1d29b70a968f2c5e200528
0x232fa21c545e6b05e30795aaa0bea78cd3192193,9,43,4.0,0.20930232558139536,0.5813953488372093,56,4,0.7678571428571429,False,False,c:0x232fa21c545e6b05e30795aaa0bea78cd3192193
0xe1e5a02b976504aa34245d2096eff33517a8d277,1,39,39.0,1.0,1.0,56,3,0.6964285714285714,False,False,c:0xe1e5a02b976504aa34245d2096eff33517a8d277
0x3d73f57e89ea770a9db7c3d44317881c306698a3,38,40,1.0,0.05,0.125,55,4,0.0,True,False,public
0xb7e63e4d9bf08eff9be9283b2cb58dcbae1f58fd,35,36,1.0,0.05555555555555555,0.1111111111111111,54,4,0.6666666666666666,True,False,public
0xb80460fcf45c77ae3cf58749827b32c9d73644e0,33,48,1.0,0.0625,0.16666666666666666,53,3,0.9056603773584906,True,False,public
0x5a62c287a0447275ce6ab56b7bb195cd6b335edc,3,26,5.0,0.7307692307692307,1.0,51,3,0.5098039215686274,False,False,c:0x5a62c287a0447275ce6ab56b7bb195cd6b335edc
0x4ddccae1a76d6f304d814b3c18c1ffc68334b198,11,49,4.0,0.16326530612244897,0.4489795918367347,49,1,0.0,False,False,c:0x4ddccae1a76d6f304d814b3c18c1ffc68334b198
0xe6da22cbf461d4b5aae59ef626238dc739af9f5e,15,27,2.0,0.14814814814814814,0.3333333333333333,48,4,0.5625,False,False,c:0xe6da22cbf461d4b5aae59ef626238dc739af9f5e
0xa108f6c0aef9795f3e585922404feb513afb0daa,25,35,1.0,0.08571428571428572,0.2,47,4,0.7446808510638298,False,False,c:0xa108f6c0aef9795f3e585922404feb513afb0daa
0xb6d6376903eba67b79811d07e216379a3982eed6,25,35,1.0,0.2571428571428571,0.37142857142857144,44,4,0.0,False,False,c:0xb6d6376903eba67b79811d07e216379a3982eed6
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,18,26,1.0,0.11538461538461539,0.3076923076923077,44,4,0.0,False,False,c:0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a
0x0ec9d8cbab956f414016a64681e5f8092a9bf48f,10,23,2.0,0.30434782608695654,0.5217391304347826,43,3,0.0,False,False,c:0x0ec9d8cbab956f414016a64681e5f8092a9bf48f
0xb3ce293109069455428934c631da3e05a1df1d8c,1,42,42.0,1.0,1.0,42,1,1.0,False,False,c:0xb3ce293109069455428934c631da3e05a1df1d8c
0x5bcd210a9a3117017ab055e9b69273d8a127d22e,5,21,4.0,0.3333333333333333,0.7142857142857143,42,3,0.5,False,False,c:0x5bcd210a9a3117017ab055e9b69273d8a127d22e
0x27f70eb6f45c30989e26e6db4016ec2b8361bafa,18,36,2.0,0.1388888888888889,0.3055555555555556,41,3,0.8780487804878049,False,False,c:0x27f70eb6f45c30989e26e6db4016ec2b8361bafa
0x6f3f9630caeeef4ea119c991506b20a5ee9fe4aa,18,29,1.0,0.10344827586206896,0.3103448275862069,40,3,0.725,False,False,c:0x9c71dc4b91e6bcbbe0c2f4faf712ad7d4998ac52
0xfb6789c3cf1b8f949da89e9298b4030216dcda08,1,29,29.0,1.0,1.0,39,3,0.7435897435897436,False,False,c:0xfb6789c3cf1b8f949da89e9298b4030216dcda08
0x492aa65e70ee2c7b3ebd813aa8f0f840f6573917,1,39,39.0,1.0,1.0,39,1,1.0,False,False,c:0x492aa65e70ee2c7b3ebd813aa8f0f840f6573917
0xb4aa6204d49a254d129d5acb4c166913d7c67a7c,1,37,37.0,1.0,1.0,38,2,0.9736842105263158,False,False,c:0xb4aa6204d49a254d129d5acb4c166913d7c67a7c
0x46f437c6aafdbaf0b624241df71781912bb5455d,4,23,5.5,0.43478260869565216,0.9130434782608695,38,4,0.6052631578947368,False,False,c:0x9e488cad7d2f459cd86428b1ece855506bdba8b3
0x5d0e835c26a106f7a07fa76693fe9b2d2ce93cca,27,38,1.0,0.23684210526315788,0.3684210526315789,38,1,1.0,False,False,c:0x5d0e835c26a106f7a07fa76693fe9b2d2ce93cca
0xe39a5ee91a3cc00018b6b31e8948f21878783d26,12,20,1.0,0.2,0.5,38,4,0.5263157894736842,False,False,c:0xe39a5ee91a3cc00018b6b31e8948f21878783d26
0x99ee8d5755ed0e26b25915874d5b5e1f37183ba0,3,30,13.0,0.5333333333333333,1.0,36,4,0.8333333333333334,False,False,c:0x99ee8d5755ed0e26b25915874d5b5e1f37183ba0
0xfe07c0d1e599d60b50b3a3048210da53961fb91a,3,35,1.0,0.9428571428571428,1.0,35,1,0.9714285714285714,False,False,c:0xfe07c0d1e599d60b50b3a3048210da53961fb91a
0xfeed001448bed378402ed4b73c2a4ce98ffd0ba9,1,22,22.0,1.0,1.0,35,4,0.6285714285714286,False,False,c:0xfeed001448bed378402ed4b73c2a4ce98ffd0ba9
0x54e9cae0cdd209d16340a4c885ec24004b61a99b,6,29,5.0,0.3103448275862069,0.8275862068965517,34,3,0.8529411764705882,False,False,c:0x54e9cae0cdd209d16340a4c885ec24004b61a99b
0xf20aa5e9d428432b49b4cc857be6feccef0b65bd,20,25,1.0,0.08,0.24,32,4,0.78125,False,False,c:0xf20aa5e9d428432b49b4cc857be6feccef0b65bd
0x484765d38aa46e12e0b10c44fa87eb1c246f7790,1,32,32.0,1.0,1.0,32,1,1.0,False,False,c:0xe74770ab16968e4186a018c08b75c5b3c57db82e
0xf5dfb16d86df6da8729064b5530ddf995a0f544e,5,22,4.0,0.4090909090909091,0.8636363636363636,30,3,0.7333333333333333,False,False,c:0xf5dfb16d86df6da8729064b5530ddf995a0f544e
0x7043d7c9e868333dbb2e486f4670cddbe50b1aea,27,29,1.0,0.06896551724137931,0.1724137931034483,29,1,1.0,False,False,c:0x7043d7c9e868333dbb2e486f4670cddbe50b1aea
