fork,window,spec,outcome,lag0,_b_lag0,_se_lag0,lag250,_b_lag250,_se_lag250,Δ (lag250 − lag0),share of prediction lag0 / lag250,elasticity lag0 / lag250
Maxwell,±14 d,σ+L+vol+trend,arb profit,-0.212* (0.111),-0.21244426816747833,0.1106800373776343,-0.274** (0.124),-0.2742363276948839,0.12379302636865976,-0.062,,
Maxwell,±14 d,σ+L+vol+trend,LP loss (total),-0.026 (0.031),-0.026427598006550188,0.03052805539442103,-0.028 (0.032),-0.028039140125914085,0.03221132026276002,-0.002,,
Maxwell,±14 d,σ+L+vol+trend,loss per arb,-0.245*** (0.069),-0.24503804613656804,0.06907332836567982,-0.248*** (0.068),-0.24799961264387577,0.06809024667060276,-0.003,,
Maxwell,±14 d,σ+L+vol+trend,arbs/h,+0.180*** (0.066),0.17981026388621632,0.06587458451331814,+0.172*** (0.065),0.17245408233176238,0.06459628854693555,-0.007,,
Maxwell,±14 d,RD,overshoot (strict),-0.206*** (0.056),-0.20572745248840638,0.056280743072139316,-0.246*** (0.048),-0.24551336340419727,0.04761308572973897,-0.040,59% / 71%,0.30 / 0.35
Maxwell,±14 d,RD,overshoot (all),-0.128** (0.058),-0.12834428788789207,0.05796875406042211,-0.154*** (0.059),-0.15422270150777848,0.0594506851171462,-0.026,,
Maxwell,±14 d,RD,arb profit,-0.218*** (0.082),-0.21796483256591875,0.08199744492598625,-0.280*** (0.091),-0.27997761406063004,0.09098292676641725,-0.062,,
Maxwell,±14 d,RD,LP loss (total),-0.026 (0.030),-0.026343590260401856,0.030333172666609513,-0.028 (0.032),-0.02789351870542376,0.03192048824557525,-0.002,,
Maxwell,±14 d,RD,loss per arb,-0.247*** (0.062),-0.24749643994803078,0.061629526690142176,-0.250*** (0.061),-0.2504593048820328,0.06078813473514752,-0.003,,
Maxwell,±14 d,RD,arbs/h,+0.180*** (0.067),0.18024935399042508,0.06687963832792465,+0.173*** (0.066),0.17290509420089478,0.065694907904613,-0.007,,
Maxwell,±7 d,σ,overshoot (strict),-0.187*** (0.045),-0.18689068159828903,0.04527724660590747,-0.221*** (0.039),-0.22053201757516538,0.03913620467155531,-0.034,54% / 64%,0.27 / 0.32
Maxwell,±7 d,σ,overshoot (all),-0.099** (0.042),-0.09909476925952196,0.042023352642378574,-0.125*** (0.044),-0.12482876021943191,0.04377027352585488,-0.026,,
Maxwell,±7 d,σ,arb profit,+0.021 (0.087),0.020886126769449825,0.08703732670722045,-0.020 (0.100),-0.019792882023657858,0.10018474169596324,-0.041,,
Maxwell,±7 d,σ,LP loss (total),+0.108** (0.043),0.10769008071237281,0.04298085490265488,+0.105** (0.044),0.10508929814154594,0.04386015179546586,-0.003,,
Maxwell,±7 d,σ,loss per arb,-0.047 (0.061),-0.04696941706386973,0.0611371069063528,-0.049 (0.061),-0.049335322692645955,0.06073093684333024,-0.002,,
Maxwell,±7 d,σ,arbs/h,+0.140*** (0.043),0.13979388179154786,0.04261982226074699,+0.131*** (0.044),0.13128459883853233,0.04365459855261224,-0.009,,
Maxwell,±7 d,σ+L+vol,overshoot (strict),-0.169*** (0.046),-0.16898743462342938,0.04592290613706907,-0.202*** (0.038),-0.20245637039142927,0.03811377808873977,-0.033,49% / 58%,0.24 / 0.29
Maxwell,±7 d,σ+L+vol,overshoot (all),-0.085** (0.042),-0.08524651529236742,0.04220036034857395,-0.110** (0.044),-0.11048511450674532,0.04426843568451397,-0.025,,
Maxwell,±7 d,σ+L+vol,arb profit,-0.087 (0.067),-0.08701148216730331,0.06711760986743363,-0.128 (0.080),-0.12808393562284098,0.07989244311419869,-0.041,,
Maxwell,±7 d,σ+L+vol,LP loss (total),-0.008 (0.022),-0.008393283743368554,0.021879609569135053,-0.011 (0.023),-0.01085564781440556,0.02311606570305047,-0.002,,
Maxwell,±7 d,σ+L+vol,loss per arb,-0.128*** (0.046),-0.12762988004861975,0.04579849725791904,-0.130*** (0.046),-0.1303605891442836,0.04561273508513516,-0.003,,
Maxwell,±7 d,σ+L+vol,arbs/h,+0.114** (0.050),0.11419685860803641,0.049585099902956856,+0.106** (0.050),0.10613120036648471,0.04962927657956077,-0.008,,
Maxwell,±7 d,σ+L+vol+trend,overshoot (strict),-0.104 (0.072),-0.10382274227477356,0.07156567809002648,-0.148*** (0.057),-0.14788139675284068,0.05728896535579832,-0.044,30% / 43%,0.15 / 0.21
Maxwell,±7 d,σ+L+vol+trend,overshoot (all),-0.138 (0.090),-0.1381745468227846,0.0900426213987785,-0.171* (0.089),-0.17124692236233524,0.0893822821323501,-0.033,,
Maxwell,±7 d,σ+L+vol+trend,arb profit,-0.263** (0.131),-0.2626015465872003,0.1311607462419862,-0.369*** (0.141),-0.3693165691554706,0.1411269875131186,-0.107,,
Maxwell,±7 d,σ+L+vol+trend,LP loss (total),-0.077*** (0.024),-0.07721157928864882,0.0244812872964851,-0.080*** (0.024),-0.08031415465433916,0.024462209742565712,-0.003,,
Maxwell,±7 d,σ+L+vol+trend,loss per arb,-0.259*** (0.073),-0.2585341215151713,0.07334751016117926,-0.261*** (0.071),-0.26147467218375925,0.07129178981509453,-0.003,,
Maxwell,±7 d,σ+L+vol+trend,arbs/h,+0.230*** (0.086),0.22970923024176235,0.08581337886615482,+0.225*** (0.083),0.22522120910285415,0.08344009085572808,-0.004,,
