窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±7 d,σ,log 越界幅度（全部）,-0.149*** (0.039),-0.14857051246597847,0.03919934136957967,1007,-0.103*** (0.037),-0.10288954649727614,0.036833842710266476,1007,+0.046,0.21,0.15,,,,
±7 d,σ,log 套利者利润,-0.032 (0.083),-0.03236022383344982,0.08290252900315126,1006,+0.077 (0.079),0.07696116964817738,0.07851683623207123,1005,+0.109,0.05,-0.11,,,,
±7 d,σ,log 单笔 LP 损失,-0.019 (0.042),-0.019080553602598613,0.0419227806692639,1007,-0.007 (0.041),-0.0065047717001669005,0.04137573956073181,1007,+0.013,,,,,,
±7 d,σ,log LP 损失（总）,+0.142*** (0.039),0.14193068139389425,0.038570819333175285,1008,+0.163*** (0.039),0.16302844283706555,0.039350201481402315,1008,+0.021,,,,,,
±7 d,σ,log 套利笔数,+0.127** (0.050),0.12673794159374874,0.05044140000492722,1007,+0.145*** (0.050),0.14540387560523985,0.050470685188350156,1007,+0.019,,,,,,
±7 d,σ+L+vol,log 越界幅度（严格）,-0.272*** (0.052),-0.27165191001192474,0.05223593861294222,1007,-0.247*** (0.043),-0.2472461500012079,0.04280437197737839,1007,+0.024,0.39,0.36,,,,
±7 d,σ+L+vol,log 越界幅度（全部）,-0.109*** (0.031),-0.10899933883062948,0.031460869538087535,1007,-0.064** (0.030),-0.06446079253064171,0.030268202339870567,1007,+0.045,0.16,0.09,,,,
±7 d,σ+L+vol,log 套利者利润,-0.325*** (0.066),-0.32475683314624776,0.06596300076996542,1006,-0.218*** (0.062),-0.21787071557417625,0.06224209421552288,1005,+0.107,0.47,0.31,,,,
±7 d,σ+L+vol,log 单笔 LP 损失,-0.150*** (0.055),-0.14964962624872735,0.05456732220150623,1007,-0.139** (0.054),-0.13858899866878047,0.054061035998155024,1007,+0.011,,,,,,
±7 d,σ+L+vol,log LP 损失（总）,-0.099*** (0.019),-0.099066379906017,0.01901324489300714,1008,-0.080*** (0.018),-0.07956723000805707,0.018442228214821107,1008,+0.019,,,,,,
±7 d,σ+L+vol,log 套利笔数,-0.027 (0.027),-0.027232710857304616,0.02720092691992659,1007,-0.006 (0.028),-0.005690747482292334,0.02769993498695425,1007,+0.022,,,,,,
±7 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.125* (0.070),-0.12492717221203802,0.06983240243521759,1007,-0.118** (0.059),-0.11789268917809795,0.0587291906381613,1007,+0.007,0.18,0.17,,,,
±7 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.037 (0.047),-0.03698090215679202,0.04729064977183318,1007,-0.002 (0.046),-0.0015578220704102527,0.04574404253060417,1007,+0.035,0.05,0.00,,,,
±7 d,σ+L+vol+趋势,log 套利者利润,-0.146 (0.105),-0.1464366650445561,0.10508628426608833,1006,-0.072 (0.093),-0.07225513764292228,0.09265067266481851,1005,+0.074,0.21,0.10,,,,
